topic,setting,questions,rule_score,full_answer_rate
ru_ua_west,no_retrieval,159,0.30077120822622105,0.14465408805031446
ru_ua_west,semantic_k3,159,0.6503856041131105,0.4716981132075472
ru_ua_west,semantic_k5,159,0.7069408740359897,0.5094339622641509
ru_ua_west,semantic_k10,159,0.7275064267352185,0.5283018867924528
ru_ua_west,graphrag,159,0.7660668380462725,0.6352201257861635
ru_ua_west,pnk_kg_only,159,0.7892030848329049,0.6352201257861635
ru_ua_west,pnk_kg_source,159,0.8534704370179949,0.710691823899371
crocus_terror,no_retrieval,159,0.14792899408284024,0.03773584905660377
crocus_terror,semantic_k3,159,0.3826429980276134,0.2138364779874214
crocus_terror,semantic_k5,159,0.4418145956607495,0.2389937106918239
crocus_terror,semantic_k10,159,0.46153846153846156,0.24528301886792453
crocus_terror,graphrag,159,0.514792899408284,0.3018867924528302
crocus_terror,pnk_kg_only,159,0.5996055226824457,0.3584905660377358
crocus_terror,pnk_kg_source,159,0.6607495069033531,0.4276729559748428
baltimore_bridge,no_retrieval,160,0.20711297071129708,0.08125
baltimore_bridge,semantic_k3,160,0.5669456066945606,0.35625
baltimore_bridge,semantic_k5,160,0.6171548117154811,0.3875
baltimore_bridge,semantic_k10,160,0.6757322175732218,0.4375
baltimore_bridge,graphrag,160,0.698744769874477,0.46875
baltimore_bridge,pnk_kg_only,160,0.7092050209205021,0.5125
baltimore_bridge,pnk_kg_source,160,0.801255230125523,0.65625
iran_israel,no_retrieval,158,0.3573529411764706,0.14556962025316456
iran_israel,semantic_k3,158,0.6617647058823529,0.310126582278481
iran_israel,semantic_k5,158,0.7058823529411765,0.35443037974683544
iran_israel,semantic_k10,158,0.7323529411764705,0.3860759493670886
iran_israel,graphrag,158,0.7823529411764706,0.5189873417721519
iran_israel,pnk_kg_only,158,0.8220588235294117,0.569620253164557
iran_israel,pnk_kg_source,158,0.9147058823529411,0.7531645569620253
gaza_conflict,no_retrieval,164,0.36810551558752996,0.06097560975609756
gaza_conflict,semantic_k3,164,0.5995203836930456,0.24390243902439024
gaza_conflict,semantic_k5,164,0.6498800959232613,0.2621951219512195
gaza_conflict,semantic_k10,164,0.6762589928057554,0.3231707317073171
gaza_conflict,graphrag,164,0.7685851318944844,0.3902439024390244
gaza_conflict,pnk_kg_only,164,0.7793764988009593,0.35365853658536583
gaza_conflict,pnk_kg_source,164,0.829736211031175,0.47560975609756095
